	Author	Ratings	Title	Description
0	DrBob1	1	Probably works well, but app a problem	"Product well reviewed, but app ""permission details"" (you always read those before downloading, don't you?) are ridiculous. It demands permission to go through, change or delete any or all accounts on my phone, and permission to take over control of my camera and microphone, whether I'm using the app or not, in addition to the other more common permissions (like location). Why does Google need my identity and accounts info, and free use of my camera and microphone, to send images from my computer to my TV? This troubles me, and I took the device back without ever hooking it up. There are other options with more respect for a user's privacy."
1	nPrime2000	5	Affordable device with surprising utility	"Before I get started, this will not replace a Roku, Amazon Stick, or any other full featured streaming device. Nor is it meant to. It will, however, provide a surprising amount of function and utility if you use it as a complementary device. I plugged it into my surround sound system via HDMI, and from here I can: stream music from my phone (effectively turning my system into a wireless speaker system better than any bluetooth speaker), stream content from my laptop and chrome book (replacing the need for a HDMI cable and adaptpr), view pictures and video from my phone or tablet (both from my private library and any number of streaming services). 

Again, this won't replace say a Roku. Lack of a dedicated remote control and native apps, as well as the required ""casting device"" keep it out of the realm of ""similar"" devices. However, it's hard to argue with the cost ($35 - I picked mine up for $30) and the value it provides. Just know what you're getting in to!"
2	Brij	5	Excellent Upgrade	I have an old Chromecast one and it works fine but somehow if i cast through my browser i need to downgrade to 480p. The new Chromecast addresses these problems. It streams smoothly with HD quality. It can also play 4k movies (tested with youtube). Additionally they included surround sound that was missing in the previous version. Overall excellent purchase.
3	adam	5	Its Amazing	If you are in question about this product, then look no farther. This thing is twice as fast as the first Chromecast. And its the cheapest video streaming device out! Seriously, at 35 dollars, you will not be disappointed. It should be your first choice just because its so cheap.
4	Brad	5	Great little device	"Purchased this for my bedroom as I don't have a cable converter in there and sometimes like to watch a little tv in bed. My son stole it. They don't have cable at his mom's house so with this, a variety of apps and my cable info, he's able to watch some of the programs he enjoys. I've since replaced this with another. My daughter stole that one. I only have one other kid so, maybe if I buy two more, I'll get to keep one. 
BTW, you don't have to have the Chromecast app to use this. Pretty much anything compatible automatically displays the cast symbol and will find your device as long as it and the phone are on the same wifi network. My son also found a work around for unsupported video apps. For this trick, you do need the Chromecast app. Use the apps mirror feature to cast your phones screen to your television, then play your video. Happy casting"
5	biglar2200	5	This is the best.	It took about 5 minutes to set this up. It works perfect with great video, and sound quality. I love it. Please note that you do need to power this with USB power supply, but that s included.
6	Melhere	5	Picks up weak signal	My old Chromecast wouldn't pick up the weak signal in my bedroom. This version picked it up right away and I haven't had any trouble with buffering while watching.
7	Ryan	5	Impressed. Google Chromecast is very fun.	"This new 2015 model of Google Chromecast is awesome. It's much smaller than it looks in all of the images and advertising. It's a small circle with an HDMI cable (male) coming out of one end and a Micro USB power receptacle (female) on the other end. It's funny looking, but it works very well. There is also an EZ factory reset button on the side of the circle. And of course, a Micro USB power adapter is included.

It was very easy to setup, and I love the beautiful screen savers. Casting from my laptop with Chrome and my Android phone is very easy and seamless. You can use your Apple devices to cast to Chromecast as well. The video and audio quality in HD are great. I love it!

IMPORTANT NOTE: Make sure you have a good fast WiFi router at the location where you plan to use the Chromecast. If you want to watch video in 720p and 1080p, you will need the capability to stream high amounts of data (from the router to the Chromecast). Most people's routers should be fine, but I'm just letting you know!"
8	One4all	5	Great Decision for PLEX users	"I own both the original Chromecast and the 2015 model. The reason why I went ahead and purchased the 2015 model was not for its features but the ability to connect to my AC router and stream my HD quality videos from my PLEX media server to my Television FLAWLESSLY.

If you are like me and have your own media database, I highly recommend it. I am an android/s6 user and have had 0 problems. With my prior Chromecast I was unable to play some of my videos and had to lower the resolution with 720p at times. PROBLEM NO MOREEE!!!"
9	joeschmo00123	5	very good	Great product just picked it up in store today. Hooked up to ac wifi seems much faster. One reason for writing this review others have stated you must use power adapter which is false. The instructions state to plug into wall adapter however there is also fine print that states it may be used with usb power from tv too. So to those saying its requried please read instructions in full. Also im ising it now no power brick just usb from tv.
